index,functions,pair,candidate_TPL,label
25681,"1. Spin more than 200 Slot Machines with FREE COINS!
2. Win hot casino bonus games.
3. Daily FREE gift coins.
4. Log in to Facebook to share gifts with friends.
5. Complete daily Quests and receive BIG rewards.
6. New slot machines added EVERY 2 WEEKS for FREE.
7. Stacked Symbols, Xpanded Wild, 6x4 slot reels, Free Games.
8. Fast paced spins. Stop the reels at any time.
9. Spin anywhere for FREE! Play on Phone, Tablet, PC and TV.
10. Play Offline! no internet connection required.
11. Compete LIVE against your friends in Xtreme Tournaments.
12. Xtreme Rewards: Enjoy FREE Bonus coins!
13. Follow us on Facebook for exclusive bonus coins offers.","[""Google Analytics"", ""Google Mobile Services""]","[""Google Tag Manager""]",True
35722,"1. Buy stuff straight from your mobile phone.
2. Shop new items within your neighborhood or from across the country.
3. Chat with sellers from the app to buy.
4. Share your listings to Facebook, Twitter & Instagram.
5. Browse and sell fashion and accessories for men and women.","[""PayPal"", ""Apache Http""]","[""Simonvt MenuDrawer""]",True
14784,"1. Interact with 100+ doggy themed items
2. Play the free mini game
3. Pamper your newborn puppy and mom dog
4. Choose from 4 mom dogs and 5 fluffy puppies
5. Rush mommy dog to the vet for an ultrasound
6. Feed your newborn puppy
7. Bathe pup at the salon
8. Keep puppy entertained at daycare
9. Decorate with stickers
10. Pamper with treats and bones
11. Put sleepy baby to bed
12. Be a pet vet doctor and dentist
13. Provide TLC to these furry pets
14. Use ultrasound tool and virtual vet tools
15. Groom puppy
16. Use virtual dentist tools
17. Decorate puppy's nursery
18. Put doggy to sleep with lullaby music
19. Use over 50 stickers to decorate
20. Soothe hungry puppies with pacifiers, milk bottle, and dog food.","[""Java Native Lua"", ""Google Mobile Services""]","[""Leadbolt Ads SDK""]",True
21420,"1. Enter Cinderella's mini golf park
2. Play all the marvelous courses
3. Find breathtaking courses in an enchanted fair world
4. Get a Hole in One on easy courses
5. Navigate trickier courses with bends and tunnels
6. Jump over ramps and avoid swinging spiked clubs
7. Find the shortest and easiest path to the hole
8. Collect crystal slippers to increase your score
9. Control the power of your stroke with a direction arrow and power bar
10. Experience realistic physics and ball movement
11. Enjoy awesome 3D graphics and lovely animations
12. Collect jewels to increase your score
13. Easy and fun gameplay
14. Play a magical game with a sweet princess theme
15. Kill time with a fantastic time killer game","[""Square Dagger"", ""Android Support v13""]","[""Nine Old Androids""]",True
47208,"1. Relaxing puzzles with no time limit or plays
2. Record and share gameplay videos (optional)
3. Easy operation: touch and erase 3 gems
4. Use character skills for powerful attacks
5. Power up character by collecting items
6. Raise character level for incredible damage
7. Compete for rankings in score attack mode","[""Square Otto"", ""Google Play SDK""]","[""SOOMLA Framework for Game""]",True
18728,"1. Play five thrilling levels of cheetah fight and hunting.
2. Hunt down bad guys using a provided map.
3. Earn 10 points for each bad guy killed.
4. Display total score earned in each level.
5. Complete each level within a specific time limit.
6. Download the ultimate cheetah chase simulator.","[""Unity3d Advertisement"", ""Flurry SDK""]","[""Unity3D""]",True
37424,"1. About Us: Learn about the app's purpose and mission.
2. Map: View a map of the app's location.
3. Contact Us: Get in touch with the app's team.
4. Schedule: Access the app's training schedule.
5. Mailing List: Join the app's mailing list.
6. Inquiry: Submit inquiries or questions to the app.
7. Our Blog: Read articles and updates from the app.
8. Events: Stay updated on upcoming events.
9. Latest Photos: View the app's most recent photos.
10. LiveAlbum: Access a live album of photos.","[""hamcrest"", ""Signpost Oauth""]","[""Google Gson""]",False
27900,"1. Identify native and non-native trees in the UK.
2. Use bark, twigs, buds, leaves, flowers, and fruits.
3. Access an A-Z guide with clear images.
4. Learn about each species with facts and history.
5. Recognize trees in any season.
6. Use the app offline while outdoors.
7. Family-friendly and user-friendly.
8. Detailed images for accurate identification.
9. Read interesting tree facts.
10. Save identified trees as favorites.
11. Record found trees on the map.","[""Fabric"", ""Square Picasso 2.7""]","[""Crashlytics""]",True
45335,"1. Match lonely singles to find true love.
2. Pair up couples who add up to 10.
3. Be the Cupid for lonely singles.
4. Find the perfect date for singles.
5. Help singles find their true love.
6. Create lovely couples with compatible matches.
7. Pair up singles based on compatibility.
8. Assist in finding the perfect match for singles.","[""Kochava Android SDK"", ""Flurry SDK""]","[""MobileAppTracking Android SDK""]",True
47024,"1. Create your own furnishing style
2. Get practical advice for home management
3. Access experts for home projects
4. Browse furnishing proposals for inspiration
5. Discover monthly ideas and suggestions for each environment
6. Find basic and high-design furnishing accessories
7. Transform your home into a welcoming and original place
8. Choose between single copy or subscription options
9. Activate a 3-month or 1-year subscription
10. Read the magazine on the app with an active subscription
11. Login to access your subscription and favorite magazine","[""Bolts Base Library"", ""Android Support v4""]","[""Facebook SDK""]",True
24627,"- Realtime 3D graphics
- Different SUV cars to choose
- Easy-to-use controls
- 4x4 car drive physics
- Collect coins within limited time","[""Unity3D"", ""Heyzap""]","[""Immersion's Haptic SDK For Android""]",True
51462,"1. Access latest IDX: HMSP stock price information.
2. Read news related to IDX: HMSP stock.
3. View SEC Filings for IDX: HMSP stock.
4. Explore background information about IDX: HMSP stock.
5. Watch videos related to IDX: HMSP stock.
6. Access presentations about IDX: HMSP stock.","[""CrossWalk API"", ""Firebase""]","[""Cronet API""]",True
33776,"1. Plumbing repairs and installations
2. Bathroom installations and renovations
3. Wet room installations and renovations
4. Boiler replacements and installations
5. Landlord certificate services
6. Gas Safe registered team for safety
7. Residential property services
8. Commercial property services","[""hamcrest"", ""Apache Common""]","[""Nostra13 Universal Image Loader""]",False
38789,"1. Drive, drift, and feel a racing sports car
2. Tilt phone to move and swerve through traffic
3. Touch screen to boost and speed faster
4. Collect coins to unlock new cars
5. Perfect game design for stunning experience
6. Real dynamic game feeling with extra fun
7. Hot and exciting background music
8. Bright 3D panoramic racing view","[""Twitter4J"", ""Android Support v4""]","[""Google GData""]",True
21026,"1. Largest and most updated football quiz on Copa America 2016
2. Quizzes around teams, players, matches, fixtures, standings, etc.
3. Create your own quiz
4. Win promotion to the top division
5. Match takes around 5 minutes (12 moves)
6. Pull player back to pass or shoot at goal
7. Answer questions correctly before opponent
8. Tons of quizzes with over 70,000 questions
9. Always up to date with challenging quizzes on hot topics
10. Quizzes on various leagues and tournaments
11. Quizzes on the greatest clubs in football
12. Challenge friends for a quiz matchup
13. Unlimited fun with new quizzes added daily
14. Participate in the football community and create your own quiz","[""Fabric"", ""Android Support v7""]","[""Crashlytics""]",True
37532,"1. Connect with fellow Drexel alumni.
2. Stay informed about university news and events.
3. Access exclusive alumni resources and benefits.
4. Engage in alumni networking opportunities.
5. Receive updates on alumni achievements and milestones.
6. Explore career opportunities and job postings.
7. Donate to support the university and its programs.
8. Participate in alumni events and reunions.","[""Junit"", ""Facebook SDK""]","[""hamcrest""]",True
29844,"1. Play Online with thousands of Dino Soccer fans
2. Play One vs One with a friend
3. Challenge the Computer AI
4. Play the Tournament Mode
5. Select your favorite dinosaurs to battle
6. Control an army of 8 different dinosaurs
7. See your dinosaurs come alive
8. Play the most beautiful game on the planet","[""Ini4J"", ""Google Play SDK""]","[""ChartBoost""]",True
54647,"1. Realistic Hunting in City Environment
2. Hunting among seven different animals
3. Latest & realistic dart guns for hunting
4. Map to detect the position of animals
5. Multiple levels - easy to difficult
6. No internet connectivity required to play
7. Smooth Controls
8. Mesmerizing graphical user interface","[""VerizonMedia Ad Platforms"", ""Android Support v4""]","[""Nexage SourceKit-MRAID For Android""]",True
46280,"1. Knock down cans with as few throws as possible
2. Aim at pile of cans and throw fruit
3. Strike down exploding cans to destroy pile
4. Green can provides additional ball (fruit)
5. Establish new record with fewest throws
6. Improve skills with each match
7. Check how many stages completed
8. Colorful 3D graphics
9. Different balls: Coconut, Mango, Pineapple
10. Challenging levels in beach environment
11. Difficulty increases with each achievement
12. Realistic physics gameplay
13. Special cans: Red dynamite, Green multiplier
14. Show off skills and challenge friends","[""Square Dagger"", ""Google Ads""]","[""Nine Old Androids""]",True
33544,"1. Improve nutritional well-being through incredible nutrition
2. Provide premier weight management products
3. Offer targeted nutrition for specific needs
4. Provide energy products for better vitality
5. Offer fitness products for an active lifestyle
6. Personalized programs and wellness plans for individuals
7. Accommodate busy hectic lifestyles
8. Help achieve wellness goals","[""EPublib"", ""Kxml2""]","[""Jasonkostempski""]",True
26772,"1. Navigate through the city using a map.
2. Track and locate criminals in real-time.
3. Receive alerts for emergency situations and crimes.
4. Communicate with other heroes for collaboration.
5. Access a database of criminal profiles.
6. Report suspicious activities to the authorities.
7. Participate in missions to protect the city.
8. Earn rewards for completing missions successfully.","[""Unity3D"", ""Apache Http""]","[""Fmod""]",True
23068,"- Request driver
- Locate current position
- Request nearest free driver
- Rate driver and service using stars","[""Jpardogo GoogleProgressBar"", ""Android Gesture Detectors Framework""]","[""Stripe Android""]",True
36264,"1. Collection of beautiful Nature's Wallpapers for mobile devices
2. Adorn your mobile phones and tabs with exquisite wallpapers
3. Feel the bounty of Mother Nature on your mobiles
4. Life-like HD pictures showcasing the beauty of Nature
5. Give your mobile phones stunning looks with Nature's wallpapers","[""Android BitmapFun"", ""Kxml2""]","[""Pollfish""]",True
26566,"1. Listen to Caucasian-Circassian Background music
2. Play 30 Instrumental Caucasian-Circassian Background music
3. Find and listen to Caucasian-Circassian Background music separately
4. Use advanced music player for seamless listening
5. Listen to music offline without internet connection
6. Adjust shuffle and repeat mode settings
7. Select music from a list","[""Android Async HTTP Library"", ""Volley HTTP library""]","[""Bolts Base Library""]",False
17258,"1. Build bridges to connect towers  
2. Safely transport a lumberjack across a chasm  
3. Collect credits while progressing  
4. Unlock new lumberjacks using collected credits  
5. Stretch and release the bridge by touching the screen  
6. Aim for a central bridge ending for bonus points","[""Amazon In-App Purchasing"", ""ChartBoost""]","[""OPFIab Library for Android""]",True
12318,"Functional functions:

1. Experience Prehistoric Hairy Salons
2. Get rid of all that Hair at the Wax Salon
3. Historically accurate Spa Salon Makeovers!
4. Dressup Boutiques fit for the ice age
5. Wildest Adventure in the Prehistoric World
6. Learn about your Historical Ancestors
7. Experience how cavemen and cave girls lived during the ice age
8. Ancient ways of the spa salon","[""Unity3D"", ""Google Mobile Services""]","[""Fmod""]",True
27461,"1. Hunt stags in the jungle with hunting equipment.
2. Use sniper view for better shot accuracy.
3. Enjoy realistic graphics and sounds of the jungle.
4. Test your sniper killing skills in different levels.
5. Rotate the gun for precise sniper hits.
6. Auto reloading functionality for convenience.
7. Complete immersive hunting missions.
8. Zoom feature to adjust aim according to target.
9. Play, pause, and restart the game as needed.
10. Share the game with friends and family.","[""Unity3d Advertisement"", ""Android Support v4""]","[""Unity3D""]",True
18383,"1. Listen to the best Latin music radio stations
2. Access web radio stations specific to Colombia
3. Enjoy Colombian music directly on your smartphone
4. Listen to music whenever and wherever you want
5. Use the app for free
6. Accompany your day with your favorite music
7. Access a variety of Colombian music radio stations
8. Enjoy the best Colombian music on your tablet","[""Jasonkostempski"", ""Google Play SDK""]","[""Jsoup""]",True
53147,"1. Daily reminders to complete challenges
2. View bite-sized content
3. Stay on track with learning
4. Achieve and log key performance metrics
5. Complete real-life challenges
6. Personalized mobile coaching
7. Systematically track learner progress
8. Effortlessly compel learners to achieve goals","[""Bolts Base Library"", ""Joda Convert""]","[""Facebook SDK""]",True
30855,"1. Explore blackholes and twisted realities
2. Discover secrets of space
3. Face unexpected challenges
4. Build a stronger space suit
5. Fly to the edge of the universe
6. Be the first to score 2020
7. Play on mobile platforms
8. Soon available in virtual reality
9. Take on the challenge
10. Go where no man has gone before","[""Unity3D"", ""Android Support v7""]","[""Unity3d Advertisement""]",True
14171,"1. Swap and match colorful items
2. Get 3 in a row
3. Complete levels
4. Make combinations of gems
5. Solve entertaining puzzles
6. Challenge 100 levels
7. Enjoy cool graphics
8. Synchronize progress with Facebook
9. Play a completely free game","[""Bolts Base Library"", ""Amazon In-App Purchasing""]","[""Facebook SDK""]",True
38120,"1. Get daily tips for glowing skin
2. Follow a day-to-day guide for radiant skin
3. Learn how to get natural glowing skin
4. Discover the best daily glowing skin routine
5. Get tips and skin care routine for glowing skin","[""Android BitmapFun"", ""Apache Common""]","[""Kankan Wheel View""]",True
33978,"1. Get weird but effective dating advice
2. Learn how to pick up any woman
3. Discover ways to attract the girl of your dreams
4. Overcome challenges with unresponsive women
5. Improve your texting game
6. Find alternative strategies to win her over
7. Explore new approaches to dating and relationships","[""Android BitmapFun"", ""Pollfish""]","[""ActionBarSherlock""]",True
34293,"1. Get inspired with Wedding Invitations rack ideas!
2. Find the perfect pair of Wedding Invitations.
3. Download and share the app with friends.
4. Rate the app if you like it.","[""Android BitmapFun"", ""Castorflex SmoothProgressBar""]","[""OnBarCode SDK""]",True
19932,"1. Command a cast of new and classic Oz heroes in breathtaking turn-based combat.
2. Evolve your heroes to Legendary levels of power.
3. Summon incredible abilities to crush fearsome enemies and rally the kingdom to your side.
4. Explore the dark corners of Oz, solve the thrilling mystery, and restore the balance between Good and Evil.
5. Dominate other opponents in the Arenas of Oz to climb the leaderboards and advance through the leagues.
6. Collect unique and powerful abilities to summon the forces of strength, nature, and magic.
7. Challenge other players in real-time PVP to see who has the mightiest hero, strongest abilities, most epic battle companions, and the best strategy.
8. Join fellow players in guilds, collect and train mighty companions, and showcase your battle prowess against others.","[""Fmod"", ""Google Play SDK""]","[""Unity3D""]",True
44385,"1. Find the best mortgage loan
2. Subscribe to mailing list for tips
3. Automate network management of providers
4. Choose the most suitable mortgage plan
5. Send personalized bank comparison and analysis report
6. Work with banks on your behalf
7. Consult with experienced industry consultant
8. Schedule a free consultation for lower installments","[""Jasonkostempski"", ""Kxml2""]","[""SourceForge ZBar""]",True
12763,"1. Customize your Griffin color
2. Massive 3D Open World Map
3. Flying Monsters, Venus Fly Traps, Giant Wolf, Dinosaurs enemies
4. Explore Mountains, Caves, and Rivers
5. 4 Magic Spells - Fireball, Invincibility, Lightning Bolt, and Healing
6. Dynamic weather including snow and rain storms
7. Call your family members when you are close to enemies
8. Find the magic spell books to unlock special spells
9. Earn adventure points by hunting and completing tasks
10. Build warriors to defend your territory
11. Upgrade your magical ability and defense
12. Realistic animal simulation with fantasy elements","[""VerizonMedia Ad Platforms"", ""Nine Old Androids""]","[""Nexage SourceKit-MRAID For Android""]",True
16288,"1. Command a submarine in an adrenaline-fueled arcade action
2. Control a surfaced submarine fighting for survival
3. Launch devastating torpedoes to sink enemy ships
4. Defend against incoming shells, depth charges, and aircraft
5. Fight day and night with occasional health drops
6. Survive waves of realistic and detailed enemy ships
7. Use a flare gun to light up the darkness
8. Seed the sea with magnetic mines to cripple enemies
9. Face single shots or devastating barrages from enemy ships
10. Avoid letting too many ships escape for game over
11. Use torpedoes strategically to slow down and finish off ships
12. Real-time 3D graphics for immersive gameplay
13. Battle against different types of Axis ships
14. Experience day and night cycles for 24-hour fights
15. Pause button for when things get too intense
16. Unique torpedo aiming system for precise shots
17. Realistic ocean environment with particle effects
18. Deploy mines to sink enemy ships
19. Upgrade your submarine and game through in-app purchases","[""Unity3D"", ""Google Ads""]","[""Fmod""]",True
32111,"1. Access the market and present products
2. Create a brand for businesses
3. Search and recruit personnel for businesses
4. Seek to exchange business opportunities
5. Look for Co-Founder for startups
6. Learn about services innovation in SME and startup
7. Understand the importance and value of innovation in service
8. Learn principles and approaches in service innovation
9. Overcome difficult reality in the business environment
10. Apply innovation to healthcare products at Tu Phuong drugstore chain stores
11. Learn about intellectual property and SME and startup-related issues","[""Cronet API"", ""SQLite Plugins""]","[""CrossWalk API""]",True
45512,"1. Backup contacts in VCF format
2. Restore contacts from any smart-phone
3. Transfer contacts between different devices
4. Backup contacts to Gmail/Dropbox/Google Drive/SD card
5. Restore contacts from SD card/Gmail/Dropbox/Google Drive
6. Restore all information of a contact, including images
7. Auto backup reminder
8. Fixed contact limit backup notification
9. Scan QR code to add contact
10. Contact searching option
11. Share selected phone number via email or SMS","[""Dropbox Java SDK"", ""Google Mobile Services""]","[""SourceForge ZBar""]",True
43271,"1. Take photo of beer list for analysis
2. Get beer ratings and recommendations automatically
3. Analyze multiple photos at once (Pro version)
4. Scan beer bar codes for recommendations (Pro version)
5. Type in beers manually for ratings and details
6. Track favorite beers
7. Get recommendations based on taste preferences
8. Navigate beer lists with confidence
9. Never get stuck with bad beer again","[""Crashlytics"", ""Android Support v7""]","[""SourceForge ZBar""]",True
36095,"1. Make life-changing decisions with ease.
2. Ask yes-no questions and get instant answers.
3. Let your smartphone decide for you.
4. Convenient app for decision-making.
5. Simplify decision-making process with this app.
6. Get quick answers to your yes-no questions.
7. Make difficult decisions effortlessly with this app.
8. Trust your smartphone to make decisions for you.","[""Bolts Base Library"", ""Google Analytics""]","[""Facebook SDK""]",True
27294,"1. Improve word-building skills  
2. Challenge in fair and quick turn-based gameplay  
3. Play against the computer in offline mode  
4. Play with a friend in offline mode (pass & play)  
5. Multi-Lingual support (English, Turkish, Arabic)  
6. Flexible preference settings (language, move time, game type)  
7. Live play online (against a friend or random opponent)  
8. Quick game conclusion with defined move times  
9. Reduce cheating with single move allowance per turn","[""Corona Game Engine"", ""Google Play SDK""]","[""Java Native Lua""]",True
32128,"1. Showcase emerging systems, platforms, technologies, and networks
2. Address the theme ""Lower Budgets and Higher Demands""
3. Industry showcase and discuss emerging technologies and equipment
4. Co-sponsored by AFCEA International and U.S. Naval Institute
5. Free registration for military and government
6. Technical sessions eligible for continuing education and training credits","[""AndroidSVG"", ""Google GCM""]","[""Nostra13 Universal Image Loader""]",True
38441,"1. Exiting gameplay!
2. Beautiful graphics!
3. Tons of upgradable weapons!
4. Epic bosses!
5. Unique upgrades!
6. Gorgeous music and sounds!
7. Tons of achievements to unlock!
8. Fight to survive!
9. Steam-punk atmosphere!
10. Save your base and protect your race!
11. Regular updates!
12. Great customer support!","[""Twitter4J"", ""Simple Facebook SDK""]","[""Square Otto""]",True
38295,"1. Listen to Contemporary Christian music.
2. Access positive messages and encouragement.
3. Connect with a community of believers.
4. Stream music and messages online.
5. Share music and messages with others.
6. Stay updated with eastern Oregon and southern Idaho news.
7. Find hope and blessings through faith.
8. Join a Family of believers in God and Jesus.","[""Jaxen"", ""Apache Http""]","[""Appcelerator""]",True
52347,"- Become the puppy mommy's doctor
- Experience after delivery check
- Choose cute toys, hairstyle, and clothes
- Well-designed game steps
- Fluent and lively game scenes
- Comfortable color matching and vivid images
- Simple and funny operations","[""Adobe Air FRE"", ""Google Mobile Services""]","[""Adobe Air""]",True
55740,"1. Spot 5 differences to win each level.
2. Compare and spot the difference in the picture.
3. No time limit for finding the differences.
4. Tap on the correct point to avoid losing HP.
5. Play the game with your family.","[""Ini4J"", ""Google Mobile Services""]","[""MOGAanywhere""]",True
12793,"1. Endless game play with multiple customizations.
2. Designed to accommodate all devices in one universal app.
3. High definition graphics.
4. Achievements and leaderboard.
5. Immersive soundtracks.
6. Small download size.
7. Optimized processor and memory usage.
8. User friendly interface.","[""AWS Java SDK For AWS Performance Insights"", ""Android Support v4""]","[""Amazon Auth SDK""]",True
18756,"1. Destroy enemy assets
2. Use skilled army spy pigeon
3. Gather intelligence on enemy assets
4. Plan strategic attacks on enemy assets
5. Communicate with your army using spy pigeon
6. Track enemy movements and activities
7. Coordinate with other army units for joint operations
8. Execute covert missions against enemy assets","[""Unity3D"", ""Google Play SDK""]","[""Supersonic Android SDK""]",True
47062,"1. Find packaging and abrasive products
2. Browse types of adhesive tapes
3. Explore various product applications
4. Discover dispensers, cutters, and stretch films
5. Stay updated with news and promotions","[""Guice"", ""Google Mobile Services""]","[""Spring Framework""]",True
37309,"1. Access online resources easily and simply
2. Obtain satisfaction with ease
3. Manage residential complexes efficiently","[""Conduit App"", ""AndroidQuery""]","[""Square OkHttp""]",True
27722,"1. Doodle funny pictures with drawing tools and stickers.
2. Change faces with crazy stickers for awesome selfies.
3. Paint on photos or canvas with colored brushes.
4. Select millions of colors from intuitive palette.
5. Create holiday postcards with cool backgrounds and stamps.
6. Edit photos and selfies with fun photo filters.
7. Save pictures to the Gallery.
8. Share pictures with friends.","[""JavaX Mail API"", ""Nokia In-App Payment""]","[""Apache Harmony""]",True
40350,"1. Information exchange for daily updates
2. Mapping of restaurants, clubs, bars, cafes, shops
3. Separate organization of different types of venues
4. Providing current information on events and offers
5. Listing job ads and work supplies
6. Listing ads for auto moto
7. Listing real estate sales and rentals
8. Live GPS for reaching desired locations","[""Appcelerator"", ""Android Support v4""]","[""Jaxen""]",True
34821,"1. Access Joseph Prince Ministries' latest teachings
2. Access Joseph Prince Ministries' latest information
3. Contact Joseph Prince Ministries for license inquiries
4. Contact Joseph Prince Ministries for license concerns
5. Report bugs for Android phone compatibility
6. Contact app developers for questions, suggestions, requests, or comments","[""Android BitmapFun"", ""XML Pull""]","[""Google APDFViewer""]",False
33980,"1. Share quotes on social networks.
2. Improve knowledge and wisdom with detailed content.
3. Add favorite quotes for verification and approval.
4. Contribute quotes and be featured in the app.
5. Rate the app and provide feedback for improvement.","[""Twitter4J"", ""Google Mobile Services""]","[""Google GData""]",True
45620,"1. Collect coins
2. Spend coins on the beach
3. Push off other coins
4. Discover prizes
5. Spin the wheel for free coins
6. Watch videos for free coins
7. Unlock special bonuses
8. Drop gold coins to gain high score
9. Unlock shovels, rescue tubes, sea shells, beach balls, and bottle bonus
10. Giant coins and coin walls for boost
11. Visit store for coin packs
12. Visit FREE COINS page for more coins
13. Start with 40 coins for free everyday","[""AWS Java SDK For AWS Performance Insights"", ""Apache Http""]","[""Amazon Auth SDK""]",True
33531,"1. Select a romantic photo from your gallery.
2. Take a new love photo with your camera.
3. Choose from many frames and try them all.
4. Supports all screen resolutions and devices.
5. Save and share your new picture instantly.
6. Edit your love photos with decorative frames.
7. Add a magical effect to your pics.
8. Create new framed pictures for romantic couples.
9. Show the gentle and delicate side of your love.
10. Personalize your photos with heart-shaped frames.","[""Jasonkostempski"", ""OnBarCode SDK""]","[""Google Android Net""]",True
38562,"1. Replace hand-made notes on typical calendar.
2. Track days of growth, weeks of Bud.
3. Track feeding schedules and harvest dates.
4. Organize stages of growth with categories.
5. Select Clone, Grow, Bud, or Harvest for each day.
6. View calendars in Month View or Day View.
7. Access bookstore to learn how to grow.
8. Play Pot Puzzle Games.
9. Compatible with Android phones and tablets.","[""Jasonkostempski"", ""Google Mobile Services""]","[""SourceForge ZBar""]",True
41766,"1. Learn suitable exercises for waist shaping
2. Get step-by-step instructions for waist exercises
3. Discover the secret to a slim waist
4. Complement your diet plan with the right workouts","[""Jasonkostempski"", ""Android Viewpagerindicator Widget""]","[""XML Pull""]",True
16990,"1. Make a dress
2. Tailor shoes
3. Make a bracelet
4. Make a ring
5. Dress up Sophia
6. Sticker book
7. Watch video","[""Adobe Air"", ""Android Support v7""]","[""Adobe Air FRE""]",True
