Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
13536,"1. Record wildlife sightings  
2. Add new records with minimal effort  
3. Automatic data checks  
4. Review by experts  
5. Share sightings with the community  
6. Works fully offline  
7. Record all UK species","1. Contribute species sightings with GPS coordinates and descriptions.  
2. Provide biodiversity information for nature conservation and research.  
3. Securely store and back up data.  
4. Apply automatic checks to observations.  
5. Allow experts to review sightings.  
6. Share wildlife sightings with users and recording schemes.  
7. Work fully offline.  
8. Record wildlife for all UK species.  
9. Add new records quickly.  
10. Benefit from automatic data checks.  
11. Share sightings with the recording community.  
12. Contribute to science and conservation.","iRecord App enables you to get involved with biological recording. Contribute your species sightings with GPS acquired coordinates, descriptions and other information, thus providing scientists with important new biodiversity information that contributes to nature conservation, planning, research and education.

Your data will be kept secure and will be regularly backed up. Automatic checks will be applied to your observations to help spot potential errors, and experts can review your sightings. All wildlife sightings for non-sensitive species are shared with other users and will be made available to National Recording Schemes, Local Record Centres and Vice County Recorders (VCRs).

• Works fully offline
• Record all the wildlife you see - supports all UK species
• Add new records with minimal effort
• Benefit from automatic data checks and review by experts
• Share your sightings with the recording community
• Contribute to science and conservation"
13551,"1. Play 54 holes.  
2. Play in 4 different courses.  
3. Experience amazing 3D visuals.  
4. Experience immersive soundtracks.  
5. Experience realistic Mini Golf physics.  
6. Challenge friends.  
7. Test mini golf skills.  
8. Get hole-in-ones, pars, or birdies.","1. Play mini golf on 54 holes.  
2. Experience 3D visuals.  
3. Enjoy immersive soundtracks.  
4. Use realistic mini golf physics.  
5. Challenge friends.","Welcome to the most addicting mini golf game in the world. Play the best casual sports game with amazing 3D graphics. Test your mini golf skills in Mini Golf Space Golf Game.

FEATURES
*** Play 54 holes located in 4 different gorgeous looking courses...
*** Amazing 3D visuals.
***Immersive Soundtracks.
*** Realistic Mini Golf physics.
*** Challenge friends

Fore! Test your mini golf skills to see just how many hole-in-ones, pars, or birdies you can get in this game.











62ee2753cb"
13653,"1. Play slot machines.  
2. Get free chips.  
3. Use Wild Multipliers.  
4. Activate Free Spins.  
5. Receive bonuses.  
6. Play daily tournaments.  
7. Play slot games with jackpots.  
8. Access Vegas slots.","1. Play over 17 slot machines.  
2. Receive 15,000 free chips as a starting bonus.  
3. Enjoy Wild Multipliers, Free Spins, and Bonuses.  
4. Get free coin bonuses hourly and daily.  
5. Participate in daily tournaments with big prizes.  
6. Play high-quality slot games with big jackpots.  
7. Access favorite Vegas slots in one place.","100x Diamonds Casino SlotsFree 1.0.1 APK description
Over 17 machines to play!
Get a starting bonus of 15,000 free chips! Our thrilling slot machines have all of the Las Vegas
casino features like Wild Multipliers, Free Spins and Tons of Bonuses!
-FREE coin bonuses hourly as well as daily bonuses
-High Definition Graphics
-Daily tournaments with Big Prizes
-Plenty of high-quality slot games with BIG JACKPOTS
-All your favorite Vegas Slots in one place!
-Play Free today and feel the thrill of winning Big!
Playing Classic Vegas Slots does not imply future success at “real money gambling”."
13677,"1. Hunt for hidden items.  
2. Unlock creepy stages.  
3. Choose difficulty modes.  
4. Select game modes.  
5. Use training mode.  
6. Get hints.  
7. Find an Easter egg.","1. Hunt for hidden items in a Halloween-themed game.  
2. Play 10 creepy levels.  
3. Choose from 3 difficulty modes: CASUAL, NORMAL, & CHALLENGE.  
4. Select from 4 game modes: PICTURE, SILHOUETTE, WORDS, and RANDOM.  
5. Access training mode and hints.","Do you dare enter The Graveyard?! Get into the Halloween spirit and hunt for hidden items among the headstones. Beware ghosts and restless souls!

Enjoy 10 amazing levels, completely for free!

FEATURES
-10 creepy stages to unlock!
-3 difficulty modes: CASUAL, NORMAL, & CHALLENGE
-4 game modes: PICTURE, SILHOUETTE, WORDS and RANDOM
-Training mode and hints are included
*An Easter egg of sorts. Please send us an email if you find it!"
13780,"1. Play Texas Hold ‘Em and Omaha Poker  
2. Compete in weekly tournaments  
3. Play with Viber friends  
4. Participate in Sit-N-Go tournaments  
5. Receive free chips and bonuses  
6. Get gifts and awards","1. Play poker games (Texas Hold 'Em and Omaha).  
2. Compete in weekly tournaments.  
3. Participate in Sit-N-Go tournaments.  
4. Receive free chips and bonuses.  
5. Play with Viber friends.  
6. Receive gifts and awards.","DOWNLOAD VIBER WORLD POKER CLUB FOR FREE!

The multi-million player social poker is now available on Viber! Find yourself in the world of bets, stakes, and huge winnings! Play your favorite poker games - Texas Hold ‘Em and Omaha. Compete in weekly tournaments and show millions of other players that you’re the best poker player out there!

Features:
Texas Hold ‘Em and Omaha Poker
Free chips and other bonuses
Play with your Viber friends!
Weekly tournaments
Sit-N-Go tournaments
Gifts, awards, and more!

GO ALL IN! DOWNLOAD NOW FOR FREE!"
13897,"1. Write thoughts on topics.  
2. Price and sell them at discretion.  
3. Get answers to questions instantly.  
4. Make a reward offer.","1. Write and sell thoughts on passionate topics.  
2. Get instant answers to questions.  
3. Make reward offers for answers.","Are you a lover of languages? Can you speak more than one language? Are you someone who loves to share with the world your particular thoughts and ideas? Are you finding for yourself a buddy? Would you like to connect with someone native to a foreign country and has a cross-cultural experience? Here is an app that offers you all that and more - Langland!
Check out the key features of our app –
• Write your thoughts on topics you are passionate about and then price and sell them at your own discretion
• Get an answer to your questions instantly and then make a reward offer"
14050,"1. Control a super powerful Evil Watcher.  
2. Explore 3 huge and well designed areas.  
3. Complete 12 challenging levels.  
4. Combine rampage with adventure games.","1. Control a super powerful Evil Watcher.  
2. Play in 3 huge and well-designed areas.  
3. Complete 12 challenging levels.  
4. Combine rampage with adventure games.  
5. Enjoy excellent 3D graphics.  
6. Experience optimized gameplay.","Here is the Evil Watcher. If you ever wondered what it would be like to take control of a creature and an appetite for humans, this is your chance. If you enjoy simulation games, you are going to love this sweet beast type game.

Features:
- Control a super powerful Evil Watcher.
- 3 huge and well designed areas.
- 12 challenging levels.
- Combines rampage with adventure games.
- Excellent 3D graphics.
- Optimized for best gaming experience."
14140,"1. Create horror photos  
2. Add scary effects  
3. Add overlays  
4. Add boarders  
5. Add animated emoticons  
6. Write text with different colors and sizes  
7. Apply effects (Sepia, black and white, sharpen, grey etc.)  
8. Take photos from camera/gallery  
9. Rotate photos  
10. Resize photos  
11. Scale photos  
12. Zoom in photos  
13. Zoom out photos  
14. Save photos in SD card  
15. Share photos via Facebook, Twitter, WhatsApp, Gmail etc","1. Create horror photos with 3D scary photo frames.  
2. Frighten friends with horror photos.  
3. Take photos and add scary effects.  
4. Add overlays and borders to photos.  
5. Add animated emoticons to photos.  
6. Rotate, resize, scale, zoom in, and zoom out photos.  
7. Apply text writing with different colors and sizes.  
8. Apply effects like sepia, black and white, sharpen, grey.  
9. Save photos in the SD card.  
10. Share photos via social media platforms.","It’s time to make some fun! Be ready for a spooky prank. Create horror photos with “3D Scary Photo Frames”. Frighten friends with horror photos. Take photos and add scary effects, overlays, boarders and animated emoticons.
Fantastic features:
• A huge collection of 3D Scary Photo Frames
• Take photos from the camera/gallery
• Rotate, resize, scale, zoom in and zoom out photos in frames
• Animated emoticons
• Text writing with different colors and sizes
• Sepia, black and white, sharpen, grey etc effects
• Amazing boarders and overlays
• Save photos in the SD card
• Share photos via Facebook, Twitter, WhatsApp, Gmail etc"
14242,"1. Shoot zombies based upon MY book Inherit the Earth  
2. Fight zombies that are really alien bacteria  
3. Fight zombies in Arlington cemetery, schoolyards, and even the Eiffel Tower","1. Shoot zombies in various locations.  
2. Fight zombies in Arlington cemetery, schoolyards, and the Eiffel Tower.","Shoot zombies based upon MY book Inherit the Earth
Fight zombies that are really alien bacteria. Based on scenes from the book Inherit the Earth (available on Amazon.com).
Fight zombies in Arlington cemetery, schoolyards, and even the Eiffel Tower.
Totally free and zero ads.
What's New in the Latest Version 1.0.9
Last updated on Jul 28, 2016
Fixed bug where last score was always getting saved as zero. Had to update the URL to the real book."
14598,"1. Drive on the highway overtaking car traffic.  
2. Choose different car types including SUV, truck, sport and classic car models.  
3. Upgrade car handling, speed and brakes.  
4. Experience 4 different beautiful 3D environments.  
5. Drive on endless highway road with traffic cars.  
6. Realistic car physics.  
7. View from cockpit of the car.","1. Choose from different car types including SUV, truck, sport, and classic models.  
2. Upgrade car handling, speed, and brakes.  
3. Experience 4 different 3D environments.  
4. Drive on an endless highway with traffic cars.  
5. Enjoy realistic car physics.  
6. View from the cockpit of the car.","Drive on the highway overtaking car traffic. this is game on the highway with traffic cars . This racing game uses realistic physics of cars.
Features:
- Different car types for the player to choose including SUV, truck, sport and classic car models
- Upgrade car handling, speed and brakes
- 4 different beautiful 3D environments
- Endless highway road with traffic cars
- Realistic car physics
- View from cockpit of the car"
14706,"1. Throw the bubble to aim  
2. Aim was just to throw a bubble  
3. Same color stick bubble disappear  
4. Use the Dragon skills with combo  
5. Clear the stage based on conditions","1. Throw a bubble to aim.  
2. Three or more same-color bubbles disappear.  
3. Use Dragon skills with combo continuation.  
4. Clear stages by meeting clear conditions.","Operation is easy! Just throw the bubble!
Bubble will continue flying you release your finger where you want to aim.

A unique stage that will be more and more added, trying to adventure together with a perfectly round Dragon!
Stage is not only a variety of gimmick and advance, it would have met in various Dragon!


- ☆ How to play ☆ -

・The aim was just to throw a bubble!
・Three or more and the same color stick bubble will disappear
Continuing with the combo you can use the Dragon skills
・If it meets the clear conditions of each stage, clear the stage!"
15053,"1. Defend your cookie  
2. Protect against ants  
3. Squash as many ants as possible  
4. Use the panic button to wipe the table clean","1. Protect cookie from ants
2. Squash ants
3. Wipe table clean with panic button","Defend your cookie against hordes of ants
Ants are after your cookie! protect it by squashing as many of them as possible!. Getting overrun? never fear, wipe the table clean with the panic button!
What's New in the Latest Version 1.04
Last updated on Jul 17, 2015
- New scurry ant sound effect
- Fixed some small bugs"
15402,"1. Drive trains flawlessly  
2. Pickup passengers  
3. Steer modern locomotive steam engine  
4. Follow instructions & control the train  
5. Clear levels successfully  
6. Face and complete challenges  
7. Change camera view  
8. Pick up passengers  
9. Drop passengers at destinations","1. Drive trains flawlessly in a simulator.  
2. Pick up passengers at subway stations.  
3. Steer modern or steam locomotive engines.  
4. Control the train closely following instructions.  
5. Clear levels to complete challenges.  
6. Change camera view for comfort.  
7. Drop passengers at their respective destinations.","Amazing Train Simulator for those who have love for trains, locomotives, steam engines, rail and railroads. There are passengers waiting at the subway station for this amazing train. Drive trainsflawlessly in this train simulator, pickup passengers and steer the modern locomotive steam engine in 3D comprehensive environment. Ever thought of driving a locomotive? Well, you have a chance now!This awesomely realistic passenger train is a perfect combination to have fun for both adults & kids who are fond of trains & adventurous trips.To be the most successful train driver, you need to follow the instructions & control the train closely. A tiring long journey through city train subway stations and long railways line andtracks can be boring but not when you’re driving yourself. If you accept this as a challenge, you need to clear all the levels successfully before you call yourself a real train driver. You may facemany challenges to get through and complete the task, but this game will take you to a different level of satisfaction & fun while playing one of the best train simulator games. Change the cameraview as per your comfort; pick up all the passengers to drop at their respective destinations. Get ready to have loads of fun while playing this exciting game."
15429,"1. Choose a ball and kick it between the posts to score a goal. 
2. Score 10 goals and pass to the next stage. 
3. Dribble around opponents who try to get in your way. 
4. Sound effects that put you right in the stadium
5. Extra ball
6. Multi-stage
7. Fixed and moving adversaries
8. Different strategies for different plays","1. Choose a ball and kick it between the posts to score a goal.  
2. Score 10 goals to pass to the next stage.  
3. Use the sides to help and dribble around opponents.  
4. Play with sound effects that simulate a stadium environment.  
5. Utilize different strategies for different plays.  
6. Navigate through multi-stage gameplay.  
7. Play against fixed and moving adversaries.  
8. Enjoy an easy-to-play football game.","A different kind of football game that combines skill, strategy and intelligence. Simple to play and easy to get hooked. Choose a ball and kick it between the posts to score a goal. Score 10 goals and pass to the next stage. Remember to use the sides to help you and dribble around opponents who try to get in your way. Whether you're a star on the football pitch or a fan of strategy games, accept the challenge and become the champion of this fun and challenging game.
FEATURES
- Sound effects that put you right in the stadium
- Extra ball!
- Multi-stage
- Easy to play
- Fixed and moving adversaries
- Different strategies for different plays"
15608,"1. Assume the role of Detective Ray Bennet.  
2. Tackle the murder of the Host.  
3. Find hidden objects and clues.  
4. Solve the mystery case.  
5. Catch the criminal.","1. Assume the role of Detective Ray Bennet.  
2. Find hidden objects and clues within different locations.  
3. Solve the mystery case and catch the criminal.","In Haunted House 2, Host of the famous paranormal investigation T.V show ‘Clark Tales’ is found dead with his throat slit open in a house he is doing a show on. Ironically, two teenagers were murdered in the house in the same manner 10 years before. No clue of anyone being there was found and the case was closed. Many believed it to be a paranormal incident.



In Mystery Case: Haunted House 2, assume the role of Detective Ray Bennet as he tackles the murder of the Host. Was it the doing of a ghost or was it a monster in human flesh?



Find out answers to all these questions in our latest episode Mystery Case: Haunted House 2 which will show you humans are more dangerous than ghosts at times!

Find the hidden objects and clues within the different locations in order to solve the mystery case and catch the criminal.

Word of advice – Beware of who is behind you!!!


Mystery Case: Haunted House 2 - Copyright © Hungry Potato 2015"
15699,"1. Connect pad/phone with the robot via Bluetooth.  
2. Turn pad/phone into the brain of robot.  
3. Control the robot remotely.  
4. Represent self with video and voice.  
5. Perform robot actions like moving around.  
6. Perform robot actions like knocking heads.  
7. Search for robots nearby.  
8. Search for friends by name.  
9. Scan QR code for connection.  
10. Invite friends for remote telepresence.","1. Control robot remotely via app.  
2. Represent self with video and voice.  
3. Perform robot actions like moving and knocking heads.  
4. Search for robots nearby.  
5. Connect robot with app via Bluetooth.  
6. Search friends' names or scan QR code.  
7. Invite friends for remote telepresence.","Tikbot is a peer-to-peer telepresence application. Tikbot app works together with the hardware robot,. It connects pad/phone with the robot via Bluetooth, turning pad/phone into the brain of robot. Via Tikbot app, people can control the robot remotely, representing himself/herself with video, voice and robot actions like moving around, knocking heads etc. Tikbot system enriches the way of human communications greatly, making it more interactive, vivid and joyful.

The usage of Tikbot is easy. By filling in e-mail, ID and password as you choose, the system creates your account. After logging in, you can search for robots nearby. Please make sure Bluetooth is turned on during this process. Once the robot is connected with Tikbot app, you can search your friends' name or scan QR code. There's nicely designed docking clip on the top of robot hardware. Please put iPad into the clip, invite your friends for remote telepresence, and have fun."
15752,"1. Realistic drone flight simulation  
2. Advance UAV predators  
3. Conduct enemy strikes  
4. Unmanned air defence  
5. Real life like RC Drone controls","1. Simulate realistic drone flight.  
2. Conduct enemy strikes with advance UAV predators.  
3. Engage in unmanned air defense.  
4. Provide real-life-like RC drone controls.  
5. Strike fighters and enemy predators in drone flying game.","Show off your flight skills in this realistic drone flight simulator.
Do you like drones? Ever wanted to fly a drone? Are you fond of RC drones and drone flying games? If so try the latest drone simulation game - Drone Flight Simulator.


Drone Flight Simulator features; advance UAV predators to conduct enemy strikes, unmanned air defence, real life like RC Drone controls and much more.

Strike fighters and enemy predators in the best drone flying game as you conquer the skies with Drone Flight Simulator.
What's New in the Latest Version 1.7
Last updated on Nov 5, 2017
Minor bug fixes and improvements. Install or update to the newest version to check it out!"
15981,"1. Operate city construction and cargo tower cranes  
2. Drive various types of heavy duty construction cranes  
3. Simulate operating heavy crane city construction machineries  
4. Excavate foundation of various construction sites  
5. Load and carry heavy cargo with cranes  
6. Simulate driving mobile crane  
7. Operate forklifts to lift heavy and normal cargos  
8. Use diggers to dig deep  
9. Use dumpers to carry debris and materials  
10. Use tower cranes to load materials at heights  
11. Operate backhoe and excavators for leveling sites","1. Operate various city construction and cargo tower cranes.  
2. Simulate driving heavy-duty construction cranes.  
3. Use diggers to dig deeply.  
4. Use forklifts to lift heavy and normal cargos.  
5. Use dumpers to carry debris, gravel, and sand.  
6. Use tower cranes and hammerhead cranes to load heavy materials.  
7. Use backhoe and excavators to level building sites.  
8. Move cargo from the ground and load trucks.  
9. Load and carry heavy cargo on vehicles using cranes.  
10. Excavate foundations of construction sites with realistic machines.  
11. Simulate and operate mobile cranes.  
12. Use heavy machines and cranes with steady hands.  
13. Observe coworkers operating forklifts and excavators.  
14. Deliver cement using cement trucks","Steering Cranes are fun! In Heavy Crane City Construction 3D simulator, you can operate wide ranges of city construction and cargo tower cranes.
Heavy Crane City Construction 3D simulator is a combination of steering and driving various types of heavy duty construction cranes being used in constructing huge buildings and skyscrapers. It takes a lot of operating skills and technique to drive and simulate these Heavy Crane City Construction machineries.

Heavy Cranes that are used in City Construction work have different types of work, diggers can dig deep, forklifts can lift heavy and normal cargos, dumpers can carry huge amount of debris, gravel and sand, tower cranes, caterpillar hammerhead cranes, can be used to load heavy building materials on various heights, backhoe and excavators are being used for leveling the building site. To complete these different assignments you need to move cargo from the ground and start loading trucks. Load huge containers and carry this heavy cargo carefully on top of these vehicles with the help of heavy cranes. With Heavy Crane City Construction 3D simulator use the cranes to Excavate the foundation of various construction sites with realistic machines, simulate, drive and operate mobile crane and show that you can keep a steady hand while using these heavy machines and construction cranes. Coworkers and heavy duty machine operators are all around you all busy in lifting heavy cargo through forklift operators, concrete excavators filling debris into the heavy duty trucks, Cement trucks ready for delivering some cement on the construction site, Bulldozer, for performing tasks for smoothing areas and little duties."
16315,"1. Destroy the enemy base on the Moon, Mars and other planets in the solar system.  
2. Avoid objects while firing at the enemy starship.  
3. Shoot with different types of weapons.","1. Destroy the enemy base on the Moon, Mars, and other planets.  
2. Avoid objects while firing at the enemy starship.  
3. Shoot with different types of weapons: Rocket launchers, lasers, missiles, ion cannon.","Are you ready to explore the space and stars with this starship shooter? Fight in the war and defend humanity. After years of pollution earth is coming to an end and the alien empire took the opportunity to declare war. An alliance of all countries has decided to launch a special mission: to find a new planet to inhabit the orbiting another star.

• Destroy the enemy base on the Moon, Mars and other planets in the solar system.
• Avoid objects while firing at the enemy starship. You will find plenty of enemies along the game.
• Shoot with different types of weapons: Rocket launchers, lasers, missiles, ion cannon, and many more weapons.

Starships Odyssey is a newly created indie game. We have many ideas to improve the game continuously. Also intend gradually go exploring other solar systems in the universe."
16571,"1. Create mechanisms for non-standard solutions.  
2. Build devices from simple loaders to complex robots.  
3. Grab and move loads.  
4. Dig the rubble.  
5. Play football.  
6. Catch a flying saucer.  
7. Program management for robots.  
8. Take video directly in the game.  
9. Take screenshots in the game.  
10. Show off inventions to friends.","1. Build mechanisms for non-standard solutions.  
2. Create devices like loaders, excavators, and robots.  
3. Grab and move loads.  
4. Dig rubble.  
5. Play football.  
6. Catch a flying saucer.  
7. Program robots for management.  
8. Take videos in the game.  
9. Take screenshots in the game.  
10. Share inventions with friends.","What can be more difficult to screw in a light bulb normal ?!

And if you need to build a special robotic mechanism for this ?!

RustySandbox - This is mobile sandbox in which you have to constantly be inventiveness and create mechanisms for non-standard solutions of simple problems. You can build absolutely any devices from a simple loader and excavator to complex robots. With the help of your inventions you have to grab and move loads, dig the rubble, to play football, and even catch a real flying saucer!

Turn wit!

Build this robot by hands. Program management for its own discretion. Take your video directly in the game or take screenshots and show off their inventions to your friends!"
