Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
13859,"1. Gives locations of touristic places in the world.  
2. Gives tourist attractions such as beaches and locations.  
3. Gives national park and location details.  
4. Gives mountains and locations.  
5. Gives all types of tourist attraction in the country.  
6. Gives capital of the country.  
7. Gives calling code.  
8. Gives time zone.  
9. Gives area of the country.  
10. Search by countries.","1. Provide locations of tourist attractions worldwide.  
2. Display beaches and their locations.  
3. Show national parks and their locations.  
4. List mountains and their locations.  
5. Offer information on various tourist attractions in countries.  
6. Display country capitals.  
7. Provide country calling codes.  
8. Show country time zones.  
9. Provide country area details.  
10. Search for countries.","WorldWide Tourist 0.0.1 APK description
This is a tourist app that gives locations of touristic places in the world, tourist attractions such as: beaches and locations, national park and location, mountains and locations, all types of tourist attraction in the country, it also gives the capital, calling code, time zone, area of the country and many more.
You can search by countries
Keywords: tourist attractions, tourism, worldwide tourist, world worldwide attraction, countries of the world, capital of the world, beaches of the world,"
13984,"1. Hunt animals like impala, leopard, antelope.  
2. Fight with various animals.  
3. Realistic 3D graphics.  
4. Fun game mechanics.  
5. Easy touch and slide controls.","1. Hunt animals and fight with various species.  
2. Enjoy realistic 3D graphics.  
3. Use fun game mechanics and easy-to-use controls.","All you need is to hunt. Hunt to survive. Some easy prey to catch, and the other will try to catch you. Excellent graphics, ""waves"" feature and simple ""touch and slide"" controls will give you the best gameplay experience and the opportunity to enjoy this game.

  Key features:
- Many animals to hunt and fight with (impala, leopard, antelope, giraffe, bison, elephant, hyena, wildbeest, zebra)
- Realistic 3D graphics
- Fun game mechanics and easy-to-use controls."
14361,"1. Play a slot machine game  
2. Experience a jungle theme  
3. Stay entertained for hours","1. Play a slot machine game set in a jungle.  
2. Entertain for hours with the game.",Are you ready for a wild game? Escape to the jungle in this new slot machine game that will keep you entertained for hours.
14572,"1. Identify community issues with smartphone  
2. Report public safety concerns  
3. Document quality of life issues  
4. Spot local ordinance violations  
5. Provide quick resolutions","1. Identify community issues  
2. Report public safety concerns  
3. Report quality of life issues  
4. Report local ordinance violations  
5. Provide quick resolutions to issues","Peachtree Corners Click-N-Fix is a real time mobile citizen response platform. Peachtree Corners Click-N-Fix provides a free, simple, and intuitive platform empowering citizens to identify community issues (public safety, quality of life, & local ordinance violations) with your smartphone for quick resolutions. A picture tells a thousand words. Download it today!”"
14651,"1. Educational experience for technologists.  
2. Day with nursing colleagues.  
3. Radiation safety coverage.  
4. Neuro IR focus.  
5. Oncology discussions.  
6. Pediatrics topics.  
7. New procedures like gastric banding in IR.  
8. Prostate embolization coverage.","1. Radiation safety education
2. Neuro IR education
3. Oncology education
4. Pediatrics education
5. New procedures education (gastric banding in IR and Prostate embolization)","AVIR Annual Meeting : Atlanta 2015
This annual meeting is held Saturday February 28th-March 4th, 2015 at the Omni CNN Center Hotel, Atlanta, GA. This conference is an educational experience geared towards technologist of levels. Highlights include; a day with nursing colleagues,radiation safety, Neuro IR, oncology, pediatrics and new procedures such as gastric banding in IR and Prostate embolization."
14703,1. Learn about health benefits of ginger.,1. Learn about health benefits of ginger.,"The Awesome Health Benefits of Ginger

The medicinal uses of ginger have been known for at least 2000 years in different cultures around the world, where this awesome spice have been used to help cure and prevent several health problems. It is also known to promote energy circulation in the body and increase our body’s metabolic rate.

Ayurveda gives this awesome root the status of a virtual medicine chest. That’s because this wonder spice has time-tested, digestion-friendly properties, in addition to its numerous other health benefits. In India, ginger is liberally used in daily life. Ginger-infused chai is a household favorite, and its grandma’s antidote of choice for battling cold, flu and various other health problems.

Learn about the awesome health benefits associated with ginger that you may not be aware of."
14987,"1. Create EDM and Dubstep Music.  
2. Make Dub beats by touching pads.  
3. Keep the beat going.  
4. Use 40 different sounds.  
5. Access basslines, drum loops, one shots, sound fx, and synths.","1. Create live EDM and Dubstep music.  
2. Generate powerful Dub beats by touching pads.  
3. Use 40 different sounds, including basslines, drum loops, one shots, sound fx, and synths.","EDM Mini is so easy that anyone can create amazing live EDM and Dubstep Music!

Create powerful Dub beats by simply touching the pads and keeping the beat going!

40 different sounds available including: basslines, drum loops, one shots, sound fx and synths.

Get to making amazing music!!!

Enjoy."
15078,"1. Run endless game  
2. Collect coins  
3. Upgrade characters  
4. Acquire power ups  
5. Gain special abilities  
6. Unlock characters  
7. Enter sweepstakes for iPhone 6s","1. Run in an endless running game.  
2. Collect coins in the game.  
3. Upgrade characters in the game.  
4. Acquire new power-ups and special abilities.  
5. Unlock all characters in the game.","*Unlock all characters to enter iPhone 6s sweepstakes
RUN FOR YOUR FREEDOM! Run from Trump and escape Mexico with our new viral endless running game!
Collect coins, upgrade your characters, acquire new power ups and special abilities! Unlock all the characters and be entered to win a brand new iPhone 6s !"
15218,"1. complete challenging activities with Santa  
2. help Santa out from the machine  
3. treat Santa with tools like tweezers, ice spray, scissor  
4. make magical perfume  
5. identify pieces for the bomb to explode  
6. put objects at the right place  
7. fix the crane  
8. clear the road  
9. find hidden object and keys  
10. save Santa from villagers trouble  
11. go underwater and fix machine  
12. dress up Santa in Christmas outfits  
13. fix the drawbridge  
14. build a catapult with real tools","1. Complete challenging activities with Santa.
2. Treat Santa with tools like tweezers, ice spray, scissors.
3. Make your own magical perfume.
4. Identify pieces for the bomb to explode.
5. Put objects at the right place.
6. Fix the crane and clear the road.
7. Find hidden objects and keys.
8. Save Santa from villagers' trouble.
9. Go underwater and fix the machine.
10. Dress up Santa in Christmas outfits.
11. Fix the drawbridge.
12. Build a catapult with real tools.
13. Complete each level properly.","On this Christmas Day, our Santa Claus is very busy because he needs to complete lots of challenging tasks. Today in our new concept My Naughty Santa Claus game, your task is completing tons of challenging activities with Santa like to help him out from the machine, treat Santa with tool like tweezers, ice spray, scissor and more, make your own magical perfume, identify all the pieces for the bomb to explode, put all the object at the right place, fix the crane and clear the road, find the hidden object and keys, save the Santa from the villagers trouble, go to underwater and fix the machine, Dress up Santa in tons of Christmas outfits, fix the drawbridge and build a catapult with real tools and much more. Show off your challenging skills and complete each and every level properly. Play and enjoy this one of the best Gameiva game and share it with your best friends."
15915,"1. Join Death Run.  
2. Play as a runner or killer.  
3. Reach a specific place to win.  
4. Stop runners using traps.  
5. Play with up to 16 players.  
6. Enjoy smooth ragdoll animations.  
7. Participate in crowbar fights.  
8. Experience multiplayer gameplay.","1. Randomly select a runner or a killer.  
2. Reach a specific place in the map to win.  
3. Use traps to stop runners.  
4. Play with up to 16 players in multiplayer.  
5. Enjoy smooth ragdoll animations.","Pickup several characters and join right into the Death Run. You are randomly selected to be a runner or a killer. If you are a runner you need to reach a specific place in the map to win the game while the killers try to do everything to stop you from doing so using several traps.

Play with up to 16 players in multiplayer and enjoy nice and smooth ragdoll animations. This game is very addictive!

Please note that this game has just been released and is still in development. More traps, more characters and crowbar fights coming soon."
16297,"1. Learn full schedule of events  
2. Make personal schedule  
3. Look up maps of convention hotels  
4. Browse dealers and artists  
5. Keep up with autograph signings  
6. Keep up with events from favorite guests","1. Learn full schedule of events  
2. Make personal schedule  
3. Look up maps of convention hotels  
4. Browse dealers and artists  
5. Keep up with autograph signings  
6. Track events from favorite guests","Find the information you need to get ready for 3 Days of Anime™ at Middle Tennessee Anime Convention in Nashville! The MTAC app helps you learn our full schedule of events, make your personal schedule, look up maps of the convention hotels, browse dealers and artists, and more! You can also use the MTAC app to keep up with autograph signings and events from your favorite guests such as Aaron Dismuke, Kari Wahlgren, Bryce Papenbrook, Caitlin Glass, Cherami Leigh and many more!

To learn more about MTAC, please visit our site.

http://mtac.net"
16325,"1. View scores and results in real-time  
2. Find a club via location search  
3. Follow a club to remember them next time  
4. View past results, future programs, and in-progress shoots  
5. View events within a shoot  
6. See leaders for each event  
7. Review complete scores for each competitor  
8. Pull down to refresh for latest scores","1. View scores and results in real time.  
2. Find a club via a location search.  
3. Follow a club for future reference.  
4. View past results, future programs, and in-progress shoots.  
5. View events within a selected shoot.  
6. See leaders for each event.  
7. Review complete scores for competitors.  
8. Refresh to retrieve latest scores during in-progress shoots.","This app is the companion for the My Clubs My Scores clay target management software.

It allows shooters, their families and friends and anyone who is interested to view scores and results in real time for clay target clubs who use the My Clubs My Scores clay target management software to run their shoot days.

The app allows you to find a club via a location search. Once you have found a club you are interested in you can ""Follow"" them so they are remembered the next time you use the app or you can select ""Shoots"" to see past results, future programs and currently in progress shoots.

Once you have selected the shoot you are interested in you can view the events within that shoot, see who is leading for each event and review the complete scores for each competitor. If you are viewing a currently in progress shoot you can ""pull down to refresh"" at any time to retrieve the latest scores."
17178,"1. Control elements through matching puzzles.  
2. Find hidden objects for clues.  
3. Explore bewitching places.  
4. Tame gale and fire storms.  
5. Solve brain-twisting puzzles.  
6. Challenge almighty spirits.","1. Find hidden objects for clues.  
2. Explore the world’s most bewitching places.  
3. Solve brain-twisting puzzles to control elements.  
4. Challenge almighty spirits.","With a fantastic hidden object adventure game before you, a power to control elements through matching puzzles and a pinch of magic this finding game will sweep you away.
Your reality turns upside down when you find yourself the last man on Earth, trapped in time for good. Your only hope now is to find hidden objects in search for clues to the reasons of this calamity. Find other people lost in time, explore the world’s most bewitching places, learn to tame gale and fire storms by solving brain-twisting puzzles and challenge almighty spirits to make it back home in this awesome seek-and-find adventure game."
17476,"1. Dress up for going back to school.  
2. Use attractive dress.  
3. Use various jewellery.","1. Dress up for going back to school.  
2. Use attractive dresses and jewelry.","Use your fashion sense to dress up for going back to school.
Use attractive dress and various jewellery in this kids games.
Have fun with this School Dressup Game. Enjoy!!"
17535,1. try the jumping game,1. Play jumping game,try the jumping game
17847,"1. Educate and entertain babies, toddlers, preschoolers, kindergartners, school children and teens.  
2. Six amazing level packs / environment habitats.  
3. 3 levels of difficulty for kids of different age groups.  
4. The difficulty of levels will progress after each completed matching game.  
5. Over 12 different nature and landscape backgrounds.  
6. Visual memory training with over 80 of beautiful animal cards.  
7. Train your kid's or baby's brain!","1. Play matching games with animal pictures.  
2. Explore six level packs/environment habitats.  
3. Choose levels of difficulty (Easy, Normal/Medium, Hard).  
4. Experience progress in difficulty after each game.  
5. View over 12 nature and landscape backgrounds.  
6. Engage in visual memory training with animal cards.  
7. Train kid's or baby's brain.","Animals Match For Kids game 80+ HD animal pictures to educate and entertain babies, toddlers, preschoolers, kindergartners, school children and teens.
FEATURES:
* Six amazing level packs / environment habitats – Jungle / Tropical forest, African savanna / safari, Farm / Domestic, Forest, Arctic / Antarctica, Ocean/Sea.
* 3 levels of difficulty for kids of different age groups with different memory skills – Easy, Normal / Medium, Hard.
* The difficulty of levels will progress after each completed matching game in the theme.
* Over 12 different nature and landscape backgrounds.
* Visual memory training with over 80 of beautiful animal cards.
* Train your kid's or baby's brain!"
17900,"1. Enjoy latest 3D layout  
2. Win battle for freedom and self esteem  
3. Save your country  
4. Use latest weapons  
5. Use unlimited emanations  
6. Use wonderful war tactics  
7. Adventurous, thriller and bravery plot  
8. Unforgettable story","1. Enjoy latest 3D layout  
2. Win battles for freedom and self-esteem  
3. Use latest weapons  
4. Utilize unlimited emanations  
5. Apply wonderful war tactics  
6. Experience adventurous and thriller plot  
7. Make role unforgettable","Enjoy latest 3D layout with one fighter death war,
Win this battle for your freedom and self esteem.
Because everyone of your men is been martyred by the enemy and only you left to save your country.
Use latest weapons, unlimited emanations and wonderful war tactics.
Adventurous, thriller and bravery plot and story just like a thrilling movie, make your role unforgettable and"
18225,"1. Communicating and interfacing with realtor and loan officer.  
2. Provide loan information and status.  
3. Have push notification reminders.  
4. Initiate a chat.  
5. Provide essential details of the loan process.  
6. Mobile Capture Technology to securely upload documents.  
7. View and download loan documentation.","1. Provide loan information and status.  
2. Send push notification reminders for important dates.  
3. Initiate a chat.  
4. Provide essential details of the loan process.  
5. Securely upload documents using Mobile Capture Technology.  
6. View and download loan documentation.","First Mortgage Solutions offers mortgage customers a unique way of communicating and interfacing with their realtor and loan officer. The app can easily provide loan information and status, have pushnotification reminders for important dates (appraisal, closing, rate lock etc.), initiate a chat, provide all the essential details of the loan process, Mobile Capture Technology to securely uploaddocuments, and allows consumers the ability to view and download loan documentation (approval, appraisal and closing docs)."
18232,"1. Provide loan information and status  
2. Have push notification reminders  
3. Initiate a chat  
4. Provide essential details of the loan process  
5. Mobile Capture Technology to securely upload documents  
6. View and download loan documentation","1. Provide loan information and status.  
2. Send push notification reminders for important dates.  
3. Initiate a chat with realtor and loan officer.  
4. Provide essential details of the loan process.  
5. Use Mobile Capture Technology to upload documents securely.  
6. Allow consumers to view and download loan documentation.","Silverton Mortgage offers mortgage customers a unique way of communicating and interfacing with their realtor and loan officer. The app can easily provide loan information and status, have push notification reminders for important dates (appraisal, closing, rate lock etc.), initiate a chat, provide all the essential details of the loan process, Mobile Capture Technology to securely upload documents, and allows consumers the ability to view and download loan documentation (approval, appraisal and closing docs)."
18234,"1. Save favorite recipes  
2. Take notes for reference  
3. Find vegan recipes easy  
4. View beautiful pictures of recipes  
5. Follow ingredients and instructions","1. Discover 30 best vegan recipes.  
2. Save favorite recipes.  
3. Take notes for easy reference.  
4. Find vegan recipes with pictures and instructions.","This app features 30 of the Best Vegan Recipes you can find! These recipes are handpicked and top rated just for you!
Plus you can save your favorite recipes and take notes for fast and easy reference. These are the best Simple Vegan Recipes you are going to find!
Find mouth-watering Vegan Recipes easy with beautiful pictures and easy to follow ingredients and instructions.
These recipes are both easy to make and delicious! Try these recipes out for yourself!
Grab your FREE copy of the Easy Vegan Recipes app Today!"
18530,"1. Sniper shooting  
2. Use long sniper guns  
3. Shoot your enemies","1. Sniper shooting game.  
2. Use long sniper guns.  
3. Shoot enemies.",in this game you are a sniper shooter and you have long sniper guns that you can use and shoot you enemies.
18980,"1. Random action confrontation with AI players.  
2. Grow the strongest fighter with various items.  
3. Obtain special bonus items as winning streak.  
4. Defeat Minion for rewards.  
5. Control the life of Lee Sin.","1. Random action confrontation with artificial intelligence players.
2. Grow the strongest action fighter with various items.
3. Obtain special bonus items during winning streaks.
4. Defeat Minions for rewards.
5. Control the life of Lee Sin.","Please enjoy the action game with the best fighter LeeSin
The game was produced by the fan game.
- Every time random action confrontation with other artificial intelligence player.
- Let's grow the strongest action fighter with more than 180 various items.
- There is also a special bonus items obtained as a winning streak.
- Please do not ignore the Minion. To defeat a lot of Minion, much also a lot of reward.
- Your control is the life of Lee Sin"
19504,"1. Fight with powerful artificial intelligence  
2. Play online  
3. Single player  
4. Two players  
5. Chess puzzles","1. Play online
2. Single player
3. Two players
4. Chess puzzles",With this 3D chess game you will fight with powerful artificial intelligence or play with friends Features : + Play online + Single player + Two players + Chess puzzles
19527,1. Enjoy exiting game from Mad Gamesmith studio.,1. Enjoy exiting game.,"Enjoy exiting game from Mad Gamesmith studio.

Follow Us:
Facebook - https://www.facebook.com/madgamesmith/"
19620,"1. Tap to Jump  
2. Tap and Hold For Higher Jumps  
3. Avoid hitting Obstacles  
4. Run through the Dark Forest  
5. Jump over the cliffs  
6. Collect the coins  
7. Run faster and faster","1. Tap to jump.
2. Tap and hold for higher jumps.
3. Avoid hitting obstacles.
4. Run endlessly through the dark forest.
5. Jump over cliffs.
6. Collect coins.
7. Run faster.","Ferocious Ninja Run 10.0 APK description
Are you Ready For the Adventure of the Ferocious Ninja in the Dark Forest?.Try this Awesome Runner game HD for free Tap to Jump Tap and Hold For Higher Jumps Avoid hitting Obstacles Ferocious Ninja Run is an endless running action game. He may look like just a Ninja, but he is a fearless Jungle on a wild run. The jungle is his playground and at night he runs through the Dark Forest. But in his adventure lies some obstacles that can take him down. Now it\'s your Temple Adventure to run him the dark forest, jump over the cliffs, collect the coins and run faster and faster as far as you can!!!"
20292,"1. Climb dirty hills  
2. Drive High Performance Race Cars  
3. Add nitrous oxide  
4. Adjust gear ratios","1. Climb dirty hills with high-performance race cars.  
2. Add nitrous oxide for more fun.  
3. Adjust gear ratios to shave off milliseconds.","Climb dirty hills with High Performance Race Cars, Add nitrous oxide for more fun, but don't push the button too early. Go deeper and adjust gear ratios to shave off precious milliseconds."
20297,"1. Access attendees list  
2. View schedule  
3. Access conference materials  
4. Live polling  
5. Photo gallery  
6. Interactive features","1. Access attendees list  
2. View conference schedule  
3. Access conference materials  
4. Participate in live polling  
5. View photo gallery  
6. Use interactive features on site","This is the official app for the China Association of Actuaries (CAA) 17th China Actuarial Annual Conference. Download the app to enhance your experience at the Annual Conference, September 23 - 24,2016 in Shanghai. Gain access to attendees list, schedule as well as conference materials. This app will provide you with access to live polling, photo gallery and other interactive features on site."
20301,"1. List of attendees  
2. Downloadable documents  
3. Full event schedule  
4. Latest news updates  
5. Interact with attendees","1. View a full list of attendees.  
2. Download documents.  
3. Access a full event schedule.  
4. Stay updated with the latest news.  
5. Interact with other attendees.","Download the official app of the POTA 2016 Annual Conference! This year's app includes a full list of attendees, downloadable documents, a full event schedule, and more. Stay up-to-date with the latest news and interact with other attendees all from the official POTA 2016 app!"
20758,"1. Improve communication  
2. Improve collaboration  
3. Content sharing in education","1. Improve communication in education.  
2. Enhance collaboration in education.  
3. Facilitate content sharing in education.","Stratford-upon-Avon College [SUAC Hub] is a private social network that helps improve communication, collaboration and content sharing in education."
20880,"1. Unlock new characters  
2. Play strategy game  
3. Avoid obstacles  
4. Reach new levels  
5. Experience physics in zero-gravity","1. Unlock new characters.  
2. Play a strategy game.  
3. Avoid obstacles.  
4. Reach new levels.","Unlock new characters which are all different from each other. Contains a space feeling. How far can you go?
This strategy game has turned physics into fun, as you see how the obstacles move in zero-gravity will leave you in awe.
Play. Avoid. Reach New Levels."
22143,"1. collect your memories  
2. transform into stunning videos  
3. give your voice a place  
4. share with people that matter","1. Collect memories  
2. Transform memories into videos  
3. Preserve vocal tone and inflection  
4. Share personal stories with others","everyStory’s easy to use interface helps collect your memories and with a bit of magic and a few clicks transforms them into stunning videos that you will watch again and again.
We built everyStory because we believe in the importance of telling stories. In the digital age we have relied more and more on text-based communication but in that process, it feels like our voices are being lost. The way you speak: your tone, vocal inflection, word choice and accent, is a huge part of what makes you who you are. everyStory aims to give you a place where your voice can be heard by the people that matter most to you."
22344,"1. Control characters to move  
2. Control characters to pick up and use something  
3. Control characters to say some words  
4. Control characters to change face  
5. Control characters to make a pose or show an action  
6. Bring photos/pictures into 3D world to DIY  
7. Control characters to make own story  
8. Post story to a tree hole to share  
9. Post screenshot to Facebook","1. Trace characters with ghosts.  
2. Control characters to move.  
3. Pick up and use items.  
4. Make characters say words.  
5. Change characters' faces.  
6. Make characters pose or show actions.  
7. Import photos/pictures into a 3D world.  
8. Create and customize stories.  
9. Post stories to a tree hole.  
10. Share screenshots on Facebook.","Two ghosts will trace your characters.Let the ghosts get what they want, then let your characters get into the hot air balloon to escape the island.

You can control every character to move,to pick up and use something,to say some words,to change his/her face,to make a pose or show an action.You can also bring your photos/pictures into the 3D world to DIY.
I give a base game content according to a story outline.You can control the characters to make your own story if you like.Then you can post the story to a tree hole to share it.You can also post a screenshot to your Facebook."
22465,"1. Wander through otherworldly experience  
2. Locate hidden objects among flora and fauna  
3. Play mini games for more excitement","1. Locate hidden objects among flora and fauna.  
2. Play mini games in wondrous worlds.","Imagine looking up into the towering pines and being greeted by the impish smiles of faeries. Intrigued by the light in their eyes, you continue you take in your environment. Just beyond the billowing clouds, you behold the most majestic of beasts - a dragon! Welcome to the fantastical world of Puzzles Faeries & Dragons. Wander through this otherworldly experience while you use your hunting skills to locate all of the objects hidden among the flora and fauna. Mini games pop up throughout these wondrous worlds, offering more excitement at every turn down the extraordinary passage ways and winding roads."
22828,"1. Provides insight and reactions to best videos.  
2. Offers behind-the-scenes and exclusive videos.  
3. Delivers daily updates.  
4. Features live streaming.","1. Gain access to exclusive videos.  
2. Receive daily updates.  
3. Watch live streaming.",Get the latest and greatest on Chili Palmer as he provides insight and reactions to the best videos on the Internet. Gain access to behind-the-scenes and exclusive videos not shown anywhere else. This fan club is for you. Join us for daily updates and live streaming.
22909,"1. Design and optimization  
2. Civil construction  
3. Electrical installation  
4. Transportation of wind turbines  
5. Erection of wind turbines  
6. Turnkey solutions","1. Design and optimization of wind farms.  
2. Civil construction for wind farm projects.  
3. Electrical installation for wind farms.  
4. Transportation of wind turbines.  
5. Erection of wind turbines.  
6. Turnkey solutions for wind farm construction.","CJR WIND IS AN EPC/BOP INTEGRATED SERVICES PROVIDER FOR THE CONSTRUCTION OF WIND FARMS.

Operating across all stages of the projects implementation process, from design and optimization, civil construction and electrical installation, transportation and erection of wind turbines. The flexibility and wide range of our services allows us to respond positively to demanding challenges, offering turnkey solutions."
23189,"1. casual arcade game for all ages.  
2. Tap screen to jump.  
3. Collect stars for upgrades.","1. Tap screen to jump.  
2. Collect stars for upgrades.","Discover the space with Captain Bob, casual arcade game for all ages.
How to play: Tap screen to jump, collect stars for upgrades.

WARNING: Highly addictive game!"
23872,"1. help people move forward  
2. more playing  
3. more lively","1. Help people move forward more.
2. Playing more lively in virtual reality.",interactive applications for the post virtual reality to help people move forward more playing more lively
24196,"1. guided breathing practice  
2. listen to the voice and follow instructions  
3. energy flow after breathing practice ends","1. Guided breathing practice  
2. Release DMT in the brain  
3. Provide breathing instructions  
4. Offer energy flow experience","This is a Fan Made App dedicated to Cory Herter the designer of this Sacred G Breath Meditation.

Sacred G Breathing Meditation is a short breathing sequence which helps release the DMT in the Brain.

This is a guided breathing practice , Just listen to the voice and follow the instruction when this breathing practice ends , there will be tremendous amount of energy flowing and this experience may vary with different users.

Do share your feature requests and feedback in the reviews."
24304,"1. 3D design visualization.  
2. 3D landscape viewing.","1. View 3D designs.  
2. Explore amazing landscapes.",Surat Az-Zalzalah 3D in  Awesome 3D  design with amazing landscape
24713,"1. Timing push function  
2. Aggregated high quality media resources","1. Timing push function  
2. Aggregated high quality media resources","SOHU NEWS is a classic news reading application tailored for the smart-phone users which is produced by SOHU.com. It have timing push function and it aggregated high quality media resources.
Up SOHU NEWS，KNOW THE WORLD!"
24766,"1. Try the game  
2. Buy the full version","1. Play the game without payment.  
2. Purchase the full version of the game.","◉ This game is a free version of the Draw the Path. In this free version you can try the game without have to pay for it, and if you like it and want to buy it there is a button on this game to buy the full version."
